"INDICATOR","HFA_402"

"HFA_402","Hospital discharges, respiratory system diseases"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"UNIT_TYPE","Unit"
"NUM_DISCHARGES","number of hospital discharges"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1989","62199"
"ALB","","ALL","1993","42889"
"ALB","","ALL","1994","40248"
"ALB","","ALL","1995","37299"
"ALB","","ALL","1996","35644"
"ALB","","ALL","1997","30968"
"ALB","","ALL","1998","33460"
"ALB","","ALL","1999","33308"
"ALB","","ALL","2000","36963"
"ALB","","ALL","2001","36448"
"ALB","","ALL","2002","43100"
"ALB","","ALL","2003","45381"
"ALB","","ALL","2004","42088"
"ALB","","ALL","2005","40168"
"ALB","","ALL","2006","48105"
"ALB","","ALL","2007","48304"
"ALB","","ALL","2008","38928"
"ALB","","ALL","2009","47343"
"ALB","","ALL","2010","42675"
"ALB","","ALL","2011","41982"
"ALB","","ALL","2012","41933"
"AND","","ALL","1996","713"
"AND","","ALL","1997","641"
"AND","","ALL","1998","538"
"AND","","ALL","1999","629"
"AND","","ALL","2000","651"
"AND","","ALL","2001","581"
"AND","","ALL","2002","761"
"AND","","ALL","2003","736"
"AND","","ALL","2004","658"
"AND","","ALL","2005","728"
"AND","","ALL","2006","686"
"AND","","ALL","2007","717"
"AND","","ALL","2008","605"
"AND","","ALL","2009","754"
"AND","","ALL","2010","666"
"AND","","ALL","2011","668"
"AND","","ALL","2012","794"
"AND","","ALL","2013","762"
"AND","","ALL","2014","822"
"AND","","ALL","2015","854"
"AND","","ALL","2016","841"
"AND","","ALL","2017","786"
"AND","","ALL","2018","851"
"AND","","ALL","2019","778"
"AND","","ALL","2020","990"
"AND","","ALL","2021","518"
"AND","","ALL","2022","817"
"ARM","","ALL","1980","78552"
"ARM","","ALL","1981","80413"
"ARM","","ALL","1982","78263"
"ARM","","ALL","1983","82378"
"ARM","","ALL","1984","80851"
"ARM","","ALL","1985","84496"
"ARM","","ALL","1986","84538"
"ARM","","ALL","1987","82665"
"ARM","","ALL","1988","81748"
"ARM","","ALL","1989","68914"
"ARM","","ALL","1990","66583"
"ARM","","ALL","1991","58106"
"ARM","","ALL","1992","40303"
"ARM","","ALL","1993","35108"
"ARM","","ALL","1994","32971"
"ARM","","ALL","1995","33165"
"ARM","","ALL","1996","33622"
"ARM","","ALL","1997","28382"
"ARM","","ALL","1998","27054"
"ARM","","ALL","1999","23636"
"ARM","","ALL","2000","19708"
"ARM","","ALL","2001","18317"
"ARM","","ALL","2002","20314"
"ARM","","ALL","2003","21998"
"ARM","","ALL","2004","23355"
"ARM","","ALL","2005","25358"
"ARM","","ALL","2006","26631"
"ARM","","ALL","2007","28358"
"ARM","","ALL","2008","31232"
"ARM","","ALL","2009","35857"
"ARM","","ALL","2010","37459"
"ARM","","ALL","2011","41773"
"ARM","","ALL","2012","44883"
"ARM","","ALL","2013","48729"
"ARM","","ALL","2014","55591"
"ARM","","ALL","2015","54017"
"ARM","","ALL","2016","63035"
"ARM","","ALL","2017","59297"
"ARM","","ALL","2018","63977"
"ARM","","ALL","2019","73456"
"ARM","","ALL","2020","54850"
"ARM","","ALL","2021","70811"
"ARM","","ALL","2022","76014"
"AUT","","ALL","1989","124751"
"AUT","","ALL","1990","128421"
"AUT","","ALL","1991","123262"
"AUT","","ALL","1992","122380"
"AUT","","ALL","1993","128733"
"AUT","","ALL","1994","132563"
"AUT","","ALL","1995","137169"
"AUT","","ALL","1996","136671"
"AUT","","ALL","1997","148614"
"AUT","","ALL","1998","156157"
"AUT","","ALL","1999","164772"
"AUT","","ALL","2000","157413"
"AUT","","ALL","2001","145667"
"AUT","","ALL","2002","143670"
"AUT","","ALL","2003","144287"
"AUT","","ALL","2004","144238"
"AUT","","ALL","2005","149653"
"AUT","","ALL","2006","141379"
"AUT","","ALL","2007","142212"
"AUT","","ALL","2008","138470"
"AUT","","ALL","2009","150737"
"AZE","","ALL","1990","196878"
"AZE","","ALL","1991","189046"
"AZE","","ALL","1992","148185"
"AZE","","ALL","1993","132000"
"AZE","","ALL","1994","101349"
"AZE","","ALL","1995","81822"
"AZE","","ALL","1996","73158"
"AZE","","ALL","1997","68366"
"AZE","","ALL","1998","57925"
"AZE","","ALL","1999","58733"
"AZE","","ALL","2000","59590"
"AZE","","ALL","2001","67979"
"AZE","","ALL","2002","64948"
"AZE","","ALL","2003","65796"
"AZE","","ALL","2004","69885"
"AZE","","ALL","2005","71298"
"AZE","","ALL","2006","77490"
"AZE","","ALL","2007","79887"
"AZE","","ALL","2008","79586"
"AZE","","ALL","2009","77838"
"AZE","","ALL","2010","62813"
"AZE","","ALL","2011","65547"
"AZE","","ALL","2012","68281"
"AZE","","ALL","2013","72492"
"AZE","","ALL","2014","75897"
"AZE","","ALL","2015","82519"
"AZE","","ALL","2016","87112"
"AZE","","ALL","2017","89912"
"BEL","","ALL","1993","133328"
"BEL","","ALL","1995","133722"
"BEL","","ALL","1996","137620"
"BEL","","ALL","1997","139560"
"BEL","","ALL","1998","146875"
"BEL","","ALL","1999","142040"
"BEL","","ALL","2000","144480"
"BEL","","ALL","2001","138997"
"BEL","","ALL","2002","141485"
"BEL","","ALL","2003","142278"
"BEL","","ALL","2004","134020"
"BEL","","ALL","2005","150054"
"BEL","","ALL","2006","138733"
"BEL","","ALL","2007","144486"
"BEL","","ALL","2008","146307"
"BGR","","ALL","1980","243117"
"BGR","","ALL","1981","243246"
"BGR","","ALL","1982","243972"
"BGR","","ALL","1983","252556"
"BGR","","ALL","1984","255075"
"BGR","","ALL","1985","277715"
"BGR","","ALL","1986","311561"
"BGR","","ALL","1987","299967"
"BGR","","ALL","1988","297660"
"BGR","","ALL","1989","290066"
"BGR","","ALL","1990","253464"
"BGR","","ALL","1991","258424"
"BGR","","ALL","1992","244788"
"BGR","","ALL","1993","221297"
"BGR","","ALL","1994","206744"
"BGR","","ALL","1995","212047"
"BGR","","ALL","1996","205648"
"BGR","","ALL","1997","172273"
"BGR","","ALL","1998","165749"
"BGR","","ALL","1999","146616"
"BGR","","ALL","2000","157215"
"BGR","","ALL","2001","160426"
"BGR","","ALL","2002","190009"
"BGR","","ALL","2003","208433"
"BGR","","ALL","2004","222541"
"BGR","","ALL","2005","245851"
"BGR","","ALL","2006","226483"
"BGR","","ALL","2007","225429"
"BGR","","ALL","2008","229968"
"BGR","","ALL","2009","244545"
"BGR","","ALL","2010","233472"
"BIH","","ALL","1980","34850"
"BIH","","ALL","1983","45611"
"BIH","","ALL","1984","48914"
"BIH","","ALL","1985","40855"
"BIH","","ALL","1986","39760"
"BIH","","ALL","1987","40011"
"BIH","","ALL","1988","38321"
"BIH","","ALL","1989","37962"
"BLR","","ALL","1993","415126"
"BLR","","ALL","1994","404918"
"BLR","","ALL","1995","416208"
"BLR","","ALL","1996","383312"
"BLR","","ALL","1997","421316"
"BLR","","ALL","1998","490140"
"BLR","","ALL","1999","502371"
"BLR","","ALL","2000","458619"
"BLR","","ALL","2001","429774"
"BLR","","ALL","2002","421842"
"BLR","","ALL","2003","405714"
"BLR","","ALL","2004","402785"
"BLR","","ALL","2005","396413"
"BLR","","ALL","2006","389545"
"BLR","","ALL","2007","414984"
"BLR","","ALL","2008","409160"
"BLR","","ALL","2009","470033"
"BLR","","ALL","2010","435988"
"BLR","","ALL","2011","428883"
"BLR","","ALL","2012","401897"
"BLR","","ALL","2013","416483"
"BLR","","ALL","2014","393253"
