city,n_hours,env_accuracy,env_f1,env_roc_auc,env_brier,internal_accuracy,internal_f1,internal_roc_auc,internal_brier
Athens,168,1.0,0.0,,0.0015634132785954044,1.0,0.0,,0.0011512666521122513
Beijing,168,1.0,0.0,,0.03864509580527634,1.0,0.0,,0.03562571255621636
Berlin,168,1.0,0.0,,0.001282526348593022,1.0,0.0,,0.0009127461133932475
Budapest,168,1.0,0.0,,0.001936817089345413,1.0,0.0,,0.0010715029792823523
Delhi,168,1.0,0.0,,0.011983590859457277,1.0,0.0,,0.007983709622760163
Lahore,168,1.0,0.0,,0.0288705168463881,1.0,0.0,,0.026993029731152314
London,168,1.0,0.0,,0.0009889680877602674,1.0,0.0,,0.0006908213005240811
Los Angeles,168,1.0,0.0,,0.0016067363614536599,1.0,0.0,,0.0012536969459643048
Madrid,168,1.0,0.0,,0.0010610911223759138,1.0,0.0,,0.000897440663663365
Mexico City,168,1.0,0.0,,0.004025703280321364,1.0,0.0,,0.0026678919099723396
Milan,168,1.0,0.0,,0.0020193551020025076,1.0,0.0,,0.001618349429084376
Paris,168,1.0,0.0,,0.0015267602050183199,1.0,0.0,,0.0010185321450150082
Rome,168,1.0,0.0,,0.001197249098474127,1.0,0.0,,0.0010529916153567559
Vienna,168,1.0,0.0,,0.0023014765012750764,1.0,0.0,,0.0010698596001338925
Warsaw,168,1.0,0.0,,0.001958170209062989,1.0,0.0,,0.0013123622130124905
