city,country,iso3,date,disease,indicator,outcome_value,outcome_unit,outcome_type,geo_level,source
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,64.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,58.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,50.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,48.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,50.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,41.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,65.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,53.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,36.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,77.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,42.6,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,63.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,71.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,53.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,62.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,78.6,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,80.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,45.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,53.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,62.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,22.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,47.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,57.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,87.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,67.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,32.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,50.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,41.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,42.8,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,33.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,31.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,56.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,43.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,69.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,50.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,59.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,37.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,41.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,66.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,40.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,36.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,40.7,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,35.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,36.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,60.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,47.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,83.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,40.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,60.7,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,34.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,52.7,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,60.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,51.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,53.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,35.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,44.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,45.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,469.6,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,47.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,50.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,70.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,71.6,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,26.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,56.8,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,23.7,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,40.2,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,55.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,82.7,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,17.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,60.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,64.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,59.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,49.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,69.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,23.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,21.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,19.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,26.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,18.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,25.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,23.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,18.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,17.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,20.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,31.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,34.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,14.8,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,15.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,13.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,33.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,17.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,19.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,20.4,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,32.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,18.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,23.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,16.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,33.8,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,33.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,16.9,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,21.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,20.7,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,14.1,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,13.8,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,33.8,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,38.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,218.5,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,286.6,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,177.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,232.7,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,153.0,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,379.6,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,119.3,rate,ED visit,county,CA Open Data - Asthma ED
Los Angeles,United States,USA,2015-01-01,asthma,asthma_ed_visit_rate,201.5,rate,ED visit,county,CA Open Data - Asthma ED
